Features,0001_1060-5814-1310_apical.CNG_apical_dendrites
Soma_Surface,21702.5
N_stems,1.0
N_bifs,1.0
N_branch,3.0
N_tips,2.0
Width,6262.4
Height,80236.23999999999
Depth,7323.360000000001
Diameter,3.2013552631578945
Length,646.82731
Surface,6681.8279
Volume,5770.8128
EucDistance,559.165
Sum_EucDistance,48604.017100000005
PathDistance,584.409
Sum_PathDistance,50549.5084
Branch_Order,1.0
Branch_pathlength,646.81
Contraction,0.949391
Fragmentation,152.0
Partition_asymmetry,0.0
Pk_classic,1.87871
Bif_ampl_local,73.7312
Bif_ampl_remote,53.7563
Bif_tilt_local,132.135
Bif_tilt_remote,138.924
Bif_torque_local,64.7799
Bif_torque_remote,51.2879
Helix,-0.0011333333333333332
Fractal_Dim,1.0112133333333333
ABEL,206.5581104633333
ABEL_Terminal,60.511657129999996
ABEL_internal,498.65101712999996
BAPL,215.60333333333332
BAPL_Terminal,64.16
BAPL_Internal,518.49
