Soma_Surface,N_stems,N_bifs,N_branch,N_tips,Width,Height,Depth,Diameter,Length,Surface,Volume,EucDistance,PathDistance,Branch_Order,Branch_pathlength,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Bif_ampl_remote,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,Helix,Fractal_Dim,Branch_pathlength_terminal,Contraction_terminal,Branch_pathlength_internal,Contraction_internal
21702.5,1,1,1,1,404.13,810.19,312.12,4.796,18.9697,285.817,342.695,18.9697,18.9697,0,59.7,0.909436,11,1,2.00172,103.102,68.656,128.11,101.598,130.082,124.539,0,1.01897,19.62,0.992308,59.7,0.909436
21702.5,1,1,1,1,404.13,810.19,312.12,4.69,1.58398,23.3385,27.3644,20.3368,20.5536,0,19.62,0.992308,5,1,1.89365,127.966,97.9171,81.3303,127.243,45.6011,48.5684,0,1.00123,3.7,1,9.11,0.95473
,1,1,1,1,404.13,810.19,312.12,4.476,3.15737,44.3982,49.6816,23.1458,23.711,0,9.11,0.95473,3,0,2.01538,103.244,54.7628,124.446,140.632,81.4117,49.2201,0,1.0128,167.71,0.84248,72.95,0.93646
,1,1,1,1,404.13,810.19,312.12,4.264,3.15945,42.3232,45.1165,26.0338,26.8705,0,3.7,1,1,0,2.04962,121.234,106.381,118.185,110.937,145.644,165.11,0,1.02345,59.09,0.938656,62.76,0.920688
,1,1,1,1,404.13,810.19,312.12,3.896,3.36027,41.1285,40.0591,29.3302,30.2307,0,72.95,0.93646,21,0.333333,1.9159,98.3977,59.6184,119.265,129.393,33.4293,17.0908,0,1.00786,125.27,0.944376,92.2,0.971934
,1,1,1,1,404.13,810.19,312.12,3.216,4.06383,41.0583,33.0109,33.3281,34.2946,0,167.71,0.84248,37,0,2.05969,106.182,152.299,121.682,81.8549,132.423,168.687,0,1.01494,17.27,0.97706,14.99,0.956469
,1,1,1,1,404.13,810.19,312.12,2.604,4.21656,34.4945,22.4559,37.3088,38.5111,0,59.09,0.938656,16,1,2.02805,105.154,100.893,117.746,94.8088,145.814,169.437,0,1.02008,137.14,0.951677,41.34,0.943266
,1,1,1,1,404.13,810.19,312.12,2.458,3.83283,29.5973,18.1875,40.7079,42.344,0,125.27,0.944376,21,0,1.75712,78.6232,65.1026,124.607,134.304,74.1327,14.9599,0,1.00535,209.28,0.87197,9.64,0.98787
,1,1,1,1,404.13,810.19,312.12,2.63,4.4667,36.9056,24.2654,44.4547,46.8107,0,62.76,0.920688,12,0,1.87871,72.6938,53.7396,133.206,138.93,140.838,149.676,0,1.01229,14.54,0.890626,518.43,0.961765
,1,1,1,1,404.13,810.19,312.12,2.826,5.79978,51.4912,36.3786,49.0785,52.6104,0,17.27,0.97706,4,0.4,1.98736,125.82,65.7829,87.0323,141.242,13.1535,32.9779,-0.01,1.00565,59.69,0.91689,46.67,0.984872
,1,1,1,1,404.13,810.19,312.12,2.888,7.09617,64.383,46.4845,54.2993,59.7066,0,137.14,0.951677,34,1,1.97182,131.338,76.1021,76.6129,95.2681,158.12,158.592,0,1.03176,96.69,0.863922,41.16,0.890552
,1,1,1,1,404.13,810.19,312.12,2.712,2.4912,21.2251,14.3906,54.6199,62.1978,1,92.2,0.971934,16,1,1.95155,145.497,81.7319,98.7271,120.927,12.6278,17.1158,0,1.01999,12.23,0.996031,74.12,0.891176
,,1,1,1,404.13,810.19,312.12,2.538,2.50178,19.9476,12.6567,55.0597,64.6996,1,14.99,0.956469,3,0,1.88371,56.1457,28.0588,146.34,136.121,89.222,108.86,0,1.00924,65.95,0.940375,15.64,0.991559
,,1,1,1,404.13,810.19,312.12,2.416,5.30733,40.2831,24.331,56.633,70.0069,1,209.28,0.87197,45,0.666667,2.00088,179.512,160.43,13.4059,16.4464,11.2633,160.326,0,1.01415,62.4,0.946565,20.9,0.988224
,,1,1,1,404.13,810.19,312.12,2.758,6.07208,52.6116,36.2757,59.4624,76.079,1,14.54,0.890626,5,0,1.89678,129.772,97.6762,106.036,92.1848,175.88,33.2286,0.01,1.01572,16.31,0.994868,26.64,0.968153
,,1,1,1,404.13,810.19,312.12,3.044,3.25265,31.1051,23.671,61.2605,79.3316,1,41.34,0.943266,10,1,1.89059,76.2996,56.6744,134.097,136.681,54.7554,40.4736,-0.02,1.00812,220.18,0.899692,38.05,0.961936
,,1,1,1,404.13,810.19,312.12,3.062,2.14793,20.6621,15.8169,56.1264,61.8545,1,9.64,0.98787,3,0,1.87609,117.692,25.3953,85.915,158.644,141.87,149.667,0,1.01525,39.68,0.882518,67.06,0.936635
,,1,1,1,404.13,810.19,312.12,3.104,4.35029,42.4218,32.9193,59.8589,66.2048,1,59.69,0.91689,17,1,1.94861,129.871,111.249,109.305,106.761,133.62,145.566,0.03,1.01016,91.78,0.827188,14.96,0.964014
,,1,1,1,404.13,810.19,312.12,2.976,2.61589,24.457,18.196,61.7892,68.8207,1,96.69,0.863922,19,0,1.75276,88.0819,69.8424,112.843,112.389,121.125,118.393,-0.06,1.00497,27.2,0.998978,29.62,0.973669
,,1,1,1,404.13,810.19,312.12,2.948,3.70316,34.2965,25.2765,63.1049,72.5239,2,12.23,0.996031,3,0,1.9104,135.943,101.668,91.6626,59.4318,108.381,99.3163,-0.03,1.02529,189.68,0.902244,1.55,1
,,1,1,1,404.13,810.19,312.12,2.79,2.87385,25.1894,17.5696,63.386,71.6946,2,518.43,0.961765,118,1,1.967,86.5765,41.7443,130.551,145.183,29.6884,48.9317,0,1.02366,189.04,0.948182,100.25,0.965159
,,1,1,1,404.13,810.19,312.12,2.672,2.58467,21.6966,14.4933,65.1098,74.2792,2,65.95,0.940375,17,1,1.869,84.0726,44.1864,134.379,139.106,134.174,127.814,0,1.00214,3.03,1,106.75,0.977005
,,1,1,1,404.13,810.19,312.12,2.502,4.78128,37.5821,23.5076,68.6211,79.0605,2,62.4,0.946565,17,0,1.73537,119.187,131.638,88.0255,43.9926,42.7069,30.7906,-0.01,1.01867,123.15,0.906453,169.96,0.978917
,,1,1,1,404.13,810.19,312.12,2.42,4.49659,34.186,20.6825,72.412,83.5571,2,46.67,0.984872,9,0,1.75984,97.901,60.7623,93.4874,141.51,150.339,137.535,-0.01,1.03525,10.62,0.997054,103.64,0.96182
,,1,1,1,404.13,810.19,312.12,2.42,4.45467,33.8673,20.4897,76.7767,88.0118,2,41.16,0.890552,12,0.4,1.80563,58.9644,57.1232,137.379,128.203,151.112,154.51,0,1.02497,10.42,0.992205,25.84,0.936435
,,1,1,1,404.13,810.19,312.12,2.558,4.3229,34.7397,22.216,81.0687,92.3347,2,16.31,0.994868,3,0,1.92565,133.495,103.946,103.896,88.3452,134.619,133.947,0,1.00239,41.77,0.843477,49.95,0.971255
,,1,1,1,404.13,810.19,312.12,2.824,3.69665,32.7961,23.1541,84.7446,96.0313,2,74.12,0.891176,18,0,1.81251,87.4874,80.0416,120.852,94.9944,117.933,124.529,0,1.00587,25.06,0.992155,17.96,0.996428
,,1,1,1,404.13,810.19,312.12,3,3.59903,33.92,25.44,88.3372,99.6303,2,15.64,0.991559,4,0,1.88212,121.407,14.5286,99.8486,158.871,16.9333,70.148,0,1.00463,87.6,0.975473,36.96,0.960893
,,1,1,1,404.13,810.19,312.12,2.886,3.3303,30.1946,21.7854,91.5651,102.961,2,220.18,0.899692,55,0.666667,1.79144,94.825,69.4472,124.379,130.979,119.638,93.8543,-0.01,1,30.36,0.978029,13.03,0.991817
,,1,1,1,404.13,810.19,312.12,2.782,3.24082,28.3245,19.6997,94.1214,106.201,2,39.68,0.882518,10,0,1.97592,140.642,86.1299,82.2301,107.002,100.576,41.5598,0,1.01132,155.64,0.830729,20.51,0.955255
,,1,1,1,404.13,810.19,312.12,2.808,3.44961,30.431,21.3626,97.4412,109.651,2,91.78,0.827188,24,1,1.84754,88.6408,69.2364,121.361,133.509,99.418,136.218,-0.03,1.0145,318.38,0.898877,31.45,0.929233
,,1,1,1,404.13,810.19,312.12,2.714,3.91132,33.349,22.6273,101.296,113.562,2,20.9,0.988224,4,1,1.99768,139.7,138.593,69.5129,62.457,136.939,135.777,-0.02,1.00943,45.17,0.952567,21.16,0.990865
,,1,1,1,404.13,810.19,312.12,2.634,3.43702,28.4412,18.7285,104.623,116.999,2,26.64,0.968153,7,1,1.88882,102.127,77.9697,112.637,124.787,90.1249,75.1463,-0.01,1.00984,50.12,0.991134,13.09,0.999087
,,1,1,1,404.13,810.19,312.12,2.664,3.50659,29.3474,19.5454,107.708,120.506,2,38.05,0.961936,9,1,1.88554,114.813,102.314,104.992,93.6663,32.1587,11.5788,-0.01,1.00436,288.78,0.906399,20.89,0.970234
,,1,1,1,404.13,810.19,312.12,2.642,3.16967,26.3085,17.3768,110.727,123.676,2,27.2,0.998978,4,0,1.87624,117.44,36.8904,109.516,157.798,36.4516,36.6504,-0.01,1.0179,135.2,0.909202,18.31,0.978054
,,1,1,1,404.13,810.19,312.12,2.6,3.28611,26.8414,17.4469,113.933,126.962,2,67.06,0.936635,16,0,1.91751,73.012,41.9535,137.749,140.2,102.608,91.795,-0.01,1.00138,219.72,0.906022,163.88,0.971896
,,1,1,1,404.13,810.19,312.12,2.832,3.51663,31.2874,22.1515,117.191,130.478,2,189.68,0.902244,45,1,1.93283,135.53,47.5208,99.2469,143.708,27.9204,32.1933,0,1.0314,199.27,0.933112,122.02,0.854184
,,1,1,1,404.13,810.19,312.12,3.302,3.61921,37.544,30.9926,120.358,134.098,2,189.04,0.948182,42,0,1.86909,133.88,48.2366,108.231,121.097,29.9007,22.7753,0,1.0045,311.39,0.935762,74.51,0.816359
,,,1,1,404.13,810.19,312.12,3.538,3.23897,36.001,31.8428,123.075,137.337,2,14.96,0.964014,5,,,,,,,,,0,1.0033,34.74,0.884695,,
,,,1,1,404.13,810.19,312.12,3.54,2.95806,32.8973,29.1141,125.341,140.295,2,3.03,1,1,,,,,,,,,0,1.00203,26.57,0.998107,,
,,,1,1,404.13,810.19,312.12,3.542,1.48317,16.504,14.6143,126.488,141.778,2,29.62,0.973669,7,,,,,,,,,0,1.00444,9.61,0.996107,,
,,,1,1,404.13,810.19,312.12,3.516,1.71552,18.9493,16.6565,127.375,143.493,3,123.15,0.906453,26,,,,,,,,,0,1.00588,27.05,0.998903,,
,,,1,1,404.13,810.19,312.12,3.466,3.423,37.2722,32.2963,129.19,146.916,3,10.62,0.997054,4,,,,,,,,,0,1.00277,150.47,0.907351,,
,,,1,1,404.13,810.19,312.12,3.3,3.09209,32.0565,26.4466,131.028,150.008,3,1.55,1,1,,,,,,,,,-0.02,1.01767,178.02,0.84104,,
,,,1,1,404.13,810.19,312.12,3.024,3.09338,29.3877,22.2171,132.89,153.102,3,10.42,0.992205,3,,,,,,,,,0,1.01503,129.34,0.956124,,
,,,1,1,404.13,810.19,312.12,2.866,3.54165,31.8883,22.848,135.583,156.643,3,41.77,0.843477,11,,,,,,,,,0,1.00934,97.86,0.889294,,
,,,1,1,404.13,810.19,312.12,2.804,3.81231,33.5827,23.5415,138.944,160.456,3,100.25,0.965159,11,,,,,,,,,-0.03,1.00706,30.18,0.9881,,
,,,1,1,404.13,810.19,312.12,2.748,3.72591,32.1661,22.0981,142.609,164.182,3,106.75,0.977005,21,,,,,,,,,-0.02,1.00215,184.32,0.950166,,
,,,1,1,404.13,810.19,312.12,2.788,3.79534,33.2425,23.17,146.35,167.977,3,25.06,0.992155,4,,,,,,,,,-0.02,1.00549,82.66,0.962162,,
,,,1,1,404.13,810.19,312.12,2.9,3.83831,34.9694,25.3528,149.718,171.815,3,169.96,0.978917,30,,,,,,,,,0,1.00124,129.89,0.894078,,
,,,1,,404.13,810.19,312.12,3.046,3.57567,34.2166,26.0559,152.88,175.391,3,87.6,0.975473,19,,,,,,,,,0,1.01133,,,,
,,,1,,404.13,810.19,312.12,3.224,3.45871,35.0316,28.2354,155.839,178.85,3,30.36,0.978029,6,,,,,,,,,0,1.02866,,,,
,,,1,,404.13,810.19,312.12,3.346,3.23855,34.0429,28.4769,158.469,182.088,3,155.64,0.830729,29,,,,,,,,,0.01,1.00472,,,,
,,,1,,404.13,810.19,312.12,3.412,3.05247,32.7198,27.91,160.788,185.141,3,318.38,0.898877,70,,,,,,,,,0,1.01399,,,,
,,,1,,404.13,810.19,312.12,3.426,5.07106,54.5804,46.7481,164.546,190.212,3,103.64,0.96182,20,,,,,,,,,0,1.01228,,,,
,,,1,,404.13,810.19,312.12,3.546,7.88198,87.8059,77.84,170.208,198.094,3,45.17,0.952567,13,,,,,,,,,0,1.00247,,,,
,,,1,,404.13,810.19,312.12,3.428,8.10625,87.2993,74.8155,176.018,206.2,3,50.12,0.991134,9,,,,,,,,,-0.03,1.01442,,,,
,,,1,,404.13,810.19,312.12,3.038,5.36389,51.1938,38.8817,180.241,211.564,3,25.84,0.936435,3,,,,,,,,,-0.04,1.0117,,,,
,,,1,,404.13,810.19,312.12,2.902,4.0991,37.3711,27.1127,182.809,215.663,3,49.95,0.971255,13,,,,,,,,,-0.02,1.01443,,,,
,,,1,,404.13,810.19,312.12,2.894,2.98612,27.1491,19.6424,184.995,218.649,3,17.96,0.996428,4,,,,,,,,,0,1.01007,,,,
,,,1,,404.13,810.19,312.12,2.858,2.91618,26.1834,18.708,187.831,221.565,3,288.78,0.906399,68,,,,,,,,,-0.02,1.00056,,,,
,,,1,,404.13,810.19,312.12,2.796,3.5593,31.2645,21.8539,191.311,225.125,3,135.2,0.909202,33,,,,,,,,,0,1.00188,,,,
,,,1,,404.13,810.19,312.12,2.57,6.08289,49.1126,31.5549,196.119,231.207,3,36.96,0.960893,8,,,,,,,,,0,1.00867,,,,
,,,1,,404.13,810.19,312.12,2.364,7.26885,53.9838,31.9044,201.218,238.476,3,219.72,0.906022,47,,,,,,,,,0,1.00064,,,,
,,,1,,404.13,810.19,312.12,2.488,5.75556,44.9871,27.982,205.039,244.232,3,199.27,0.933112,45,,,,,,,,,0,1.00605,,,,
,,,1,,404.13,810.19,312.12,2.766,6.18083,53.7092,37.1399,208.816,250.413,3,13.03,0.991817,4,,,,,,,,,0,1.01027,,,,
,,,1,,404.13,810.19,312.12,2.914,5.81339,53.2193,38.7702,212.939,256.226,3,20.51,0.955255,6,,,,,,,,,0,1.02337,,,,
,,,1,,404.13,810.19,312.12,2.934,5.53913,51.0566,37.45,217.352,261.765,3,311.39,0.935762,74,,,,,,,,,0,1.00491,,,,
,,,1,,404.13,810.19,312.12,2.816,5.52415,48.8706,34.4049,222.065,267.289,3,34.74,0.884695,9,,,,,,,,,0,1.0063,,,,
,,,1,,404.13,810.19,312.12,2.802,5.58507,49.1639,34.4393,226.879,272.874,3,31.45,0.929233,7,,,,,,,,,0,1.02997,,,,
,,,1,,404.13,810.19,312.12,2.9,5.33325,48.5892,35.2272,231.562,278.208,3,26.57,0.998107,5,,,,,,,,,0,1.00318,,,,
,,,1,,404.13,810.19,312.12,2.906,5.65877,51.6616,37.5321,236.566,283.866,3,21.16,0.990865,6,,,,,,,,,0,1.00451,,,,
,,,1,,404.13,810.19,312.12,2.85,4.81038,43.07,30.6874,241.104,288.677,3,9.61,0.996107,3,,,,,,,,,-0.01,1.01002,,,,
,,,1,,404.13,810.19,312.12,2.59,4.09395,33.3113,21.5691,244.739,292.771,3,13.09,0.999087,3,,,,,,,,,0,1.01786,,,,
,,,1,,404.13,810.19,312.12,2.294,3.9119,28.1924,16.1683,248.293,296.683,3,20.89,0.970234,6,,,,,,,,,0,1.00384,,,,
,,,1,,404.13,810.19,312.12,2.006,3.76237,23.7106,11.8908,251.546,300.445,3,27.05,0.998903,4,,,,,,,,,-0.01,1.02159,,,,
,,,1,,404.13,810.19,312.12,1.56,4.01241,19.6643,7.66909,254.605,304.457,3,18.31,0.978054,5,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,0.908,5.03685,14.368,3.26153,257.936,309.494,3,150.47,0.907351,37,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,3.604,3.3005,37.3693,33.6697,128.021,145.078,3,178.02,0.84104,43,,,,,,,,,0,,,,,
,,,1,,404.13,810.19,312.12,3.494,2.49046,27.3371,23.879,129.341,147.569,3,129.34,0.956124,23,,,,,,,,,0,,,,,
