Soma_Surface,N_stems,N_bifs,N_branch,N_tips,Width,Height,Depth,Diameter,Length,Surface,Volume,EucDistance,PathDistance,Branch_Order,Branch_pathlength,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Bif_ampl_remote,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,Helix,Fractal_Dim,Branch_pathlength_terminal,Contraction_terminal,Branch_pathlength_internal,Contraction_internal
21702.5,1,1,1,1,404.1,810.1,313.33,5.904,23.1202,428.833,632.958,23.1202,23.1202,0,122.02,0.854184,27,1,1.93283,135.53,47.5446,99.2469,143.706,27.9204,32.1939,-0.03,1.00451,129.98,0.894108,122.02,0.854184
21702.5,1,1,1,1,404.1,810.1,313.33,5.242,2.89658,47.7016,62.513,25.3428,26.0168,0,74.47,0.816309,19,0,1.86909,133.189,48.2129,108.318,121.082,29.6066,22.7746,0,1.01787,82.68,0.9622,74.47,0.816309
,1,1,1,1,404.1,810.1,313.33,4.326,3.43386,46.668,50.4714,26.2968,29.4507,0,129.98,0.894108,33,0,1.91751,73.2281,41.9666,137.533,140.189,21.1849,42.165,0,1.02167,184.27,0.95026,163.86,0.971877
,1,1,1,1,404.1,810.1,313.33,3.41,3.43455,36.7937,31.3666,27.6564,32.8852,0,82.68,0.9622,18,0.4,1.80563,58.9644,57.1232,137.379,128.203,42.7845,41.9179,0,1.00384,30.17,0.988303,25.84,0.936435
,1,1,1,1,404.1,810.1,313.33,2.718,3.23512,27.6242,18.7706,29.2653,36.1203,0,184.27,0.95026,38,0.666667,1.79144,94.825,69.4472,124.379,130.979,119.638,93.8543,0.01,1.01002,97.87,0.889275,13.03,0.991817
,1,1,1,1,404.1,810.1,313.33,2.422,3.4617,26.3399,15.9488,31.4976,39.5821,0,163.86,0.971877,24,1,1.84754,88.6408,69.2364,121.361,133.509,99.418,136.218,0,1.00626,129.36,0.955987,31.45,0.929233
,1,1,1,1,404.1,810.1,313.33,2.32,3.35723,24.4692,14.1921,34.0868,42.9393,0,30.17,0.988303,6,1,1.99768,139.7,138.593,69.5129,62.457,136.939,135.777,0,1.00339,178.08,0.840796,21.16,0.990865
,1,1,1,1,404.1,810.1,313.33,2.366,2.93755,21.8348,12.9153,36.4733,45.8768,0,97.87,0.889275,18,1,1.88882,102.127,77.9539,112.637,124.787,90.1249,75.1372,-0.01,1.03014,150.5,0.907304,13.09,0.999087
,1,1,1,1,404.1,810.1,313.33,2.4,3.34522,25.2224,15.1334,38.9825,49.2221,0,25.84,0.936435,3,1,1.88554,114.813,102.314,104.992,93.6663,32.1587,11.5746,0,1.00247,27.05,0.998903,20.89,0.970234
,1,1,1,1,404.1,810.1,313.33,2.248,3.63902,25.6999,14.4433,41.8444,52.8611,0,13.03,0.991817,4,0,1.87624,117.44,36.8712,109.516,157.798,36.4516,36.6901,0,1.01007,9.61,0.996107,18.31,0.978054
,1,1,1,1,404.1,810.1,313.33,2.208,3.69893,25.6581,14.1633,45.0252,56.56,0,31.45,0.929233,7,0,1.97592,140.642,86.1303,82.2301,107.002,100.576,41.5591,0,1.00188,26.57,0.998107,20.51,0.955255
,1,1,1,1,404.1,810.1,313.33,2.39,3.4861,26.1751,15.6396,48.0065,60.0461,0,21.16,0.990865,6,0,1.92565,133.495,103.946,103.896,88.3452,134.619,133.947,0,1.00502,34.74,0.884695,49.95,0.971255
,,1,1,1,404.1,810.1,313.33,2.58,3.61974,29.3391,18.9237,50.9268,63.6658,0,13.09,0.999087,3,0,1.88212,121.407,14.5245,99.8486,158.877,16.9333,70.1555,0,1.00867,311.4,0.935877,36.96,0.960893
,,1,1,1,404.1,810.1,313.33,2.756,3.86286,33.4455,23.044,54.1609,67.5287,0,129.36,0.955987,23,0,1.81251,87.4874,80.0331,120.852,94.9969,117.933,124.529,0,1.00605,199.27,0.933037,17.96,0.996428
,,1,1,1,404.1,810.1,313.33,2.816,4.22921,37.4146,26.3399,57.6418,71.7579,0,20.89,0.970234,6,0,1.75984,97.901,60.7622,93.4874,141.51,108.212,62.4977,0,1.02345,219.77,0.906158,103.64,0.96182
,,1,1,1,404.1,810.1,313.33,2.616,3.89278,31.9924,20.923,60.9703,75.6507,0,18.31,0.978054,5,1,1.967,86.5765,41.7435,130.551,145.201,95.549,111.837,0,1.01035,135.24,0.909232,100.25,0.965159
,,1,1,1,404.1,810.1,313.33,2.424,3.60559,27.4574,16.6392,64.1115,79.2563,0,178.08,0.840796,43,1,1.869,85.9668,44.081,135.522,139.232,133.43,127.916,0,1.00064,288.77,0.906498,106.75,0.976954
,,1,1,1,404.1,810.1,313.33,2.472,3.52741,27.3939,16.9294,67.2569,82.7837,0,150.5,0.907304,37,0,1.73537,119.283,131.52,87.4564,44.0392,41.9872,30.4225,0,1.00056,50.11,0.991062,170.01,0.978734
