Soma_Surface,N_stems,N_bifs,N_branch,N_tips,Width,Height,Depth,Diameter,Length,Surface,Volume,EucDistance,PathDistance,Branch_Order,Branch_pathlength,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Bif_ampl_remote,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,Helix,Fractal_Dim,Branch_pathlength_terminal,Contraction_terminal,Branch_pathlength_internal,Contraction_internal
21702.5,1,1,1,1,41.2,527.87,48.18,6.442,22.0467,446.184,718.58,22.0467,22.0467,0,518.49,0.961737,118,0,1.87871,73.7312,53.7563,132.135,138.924,64.7799,51.2879,0,1.00812,62.41,0.946195,518.49,0.961737
21702.5,,,1,1,41.2,527.87,48.18,5.988,1.71595,32.2803,48.3236,23.6982,23.7627,0,62.41,0.946195,17,,,,,,,,,0,1.01021,65.91,0.940241,,
,,,1,,41.2,527.87,48.18,5.08,3.43501,54.8203,69.6218,27.0258,27.1977,0,65.91,0.940241,17,,,,,,,,,0,1.01531,,,,
,,,,,41.2,527.87,48.18,4.172,3.44491,45.1515,47.093,30.3873,30.6426,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.388,4.03689,42.9675,36.3935,34.3809,34.6795,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,2.864,4.19749,37.767,27.0412,38.3867,38.877,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,2.678,3.5521,29.8845,20.0076,41.5419,42.429,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,2.85,3.61737,32.3883,23.0767,45.1286,46.0464,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.118,4.78813,46.9021,36.5602,49.88,50.8346,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.256,5.00883,51.2355,41.7057,54.86,55.8434,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.26,3.8665,39.5991,32.2733,58.655,59.7099,0,,,,,,,,,,,,-0.01,,,,,
,,,,,41.2,527.87,48.18,3.244,3.10058,31.599,25.6268,61.4354,62.8105,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.314,3.04084,31.6589,26.2294,64.0161,65.8513,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.294,3.50161,36.2361,29.8404,67.286,69.3529,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.146,4.66306,46.0871,36.2475,71.9013,74.016,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.156,4.74132,47.0095,37.0905,76.6029,78.7573,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.356,3.93195,41.4552,34.7809,80.5232,82.6892,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.504,3.76869,41.4862,36.3419,84.2396,86.4579,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.492,4.07712,44.7278,39.0474,88.1986,90.535,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.348,4.11615,43.2939,36.237,92.2784,94.6512,0,,,,,,,,,,,,-0.01,,,,,
,,,,,41.2,527.87,48.18,3.194,4.54842,45.6399,36.4435,96.6855,99.1996,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.092,4.94663,48.0505,37.1431,101.61,104.146,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.004,4.83911,45.6684,34.2969,106.39,108.985,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.022,4.85325,46.0762,34.8106,111.208,113.839,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.092,5.87445,57.0633,44.1099,116.915,119.713,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.062,5.11708,49.224,37.681,121.969,124.83,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.042,3.76537,35.9846,27.3663,125.712,128.595,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.122,4.24295,41.615,32.4805,129.862,132.838,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.252,4.41458,45.1014,36.6674,134.226,137.253,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.262,4.05527,41.5579,33.8905,138.114,141.308,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.316,3.81602,39.7535,32.9556,141.87,145.124,0,,,,,,,,,,,,-0.02,,,,,
,,,,,41.2,527.87,48.18,3.258,3.48924,35.7135,29.0886,144.838,148.614,0,,,,,,,,,,,,-0.04,,,,,
,,,,,41.2,527.87,48.18,3.204,3.78087,38.057,30.4837,148.586,152.394,0,,,,,,,,,,,,-0.04,,,,,
,,,,,41.2,527.87,48.18,3.264,5.82107,59.6902,48.7072,153.777,158.215,0,,,,,,,,,,,,-0.01,,,,,
,,,,,41.2,527.87,48.18,3.266,5.25724,53.9416,44.0433,158.969,163.473,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.3,6.35815,65.9166,54.3812,165.193,169.831,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.3,6.93599,71.9072,59.3235,171.551,176.767,0,,,,,,,,,,,,0.01,,,,,
,,,,,41.2,527.87,48.18,3.344,5.41835,56.9224,47.5871,176.967,182.185,0,,,,,,,,,,,,0.01,,,,,
,,,,,41.2,527.87,48.18,3.36,5.314,56.0933,47.1183,182.048,187.499,0,,,,,,,,,,,,0.01,,,,,
,,,,,41.2,527.87,48.18,3.262,5.34333,54.7578,44.655,187.344,192.843,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.182,4.41466,44.1313,35.1065,191.698,197.257,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.36,4.55982,48.1324,40.4312,196.009,201.817,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.452,4.41108,47.8371,41.2835,200.388,206.228,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.3,3.74605,38.8363,32.0399,203.912,209.974,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.168,3.74329,37.2553,29.5062,207.443,213.717,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.058,3.76545,36.1746,27.6555,210.981,217.483,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,2.8,3.63874,32.008,22.4056,214.6,221.122,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,2.644,4.79906,39.8628,26.3493,219.342,225.921,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,2.784,5.04401,44.1159,30.7046,224.32,230.965,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,2.934,4.95754,45.6958,33.5179,229.196,235.922,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.032,4.20074,40.0133,30.3301,233.336,240.123,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.118,3.05005,29.8767,23.2889,235.84,243.173,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.19,3.06752,30.7417,24.5165,238.873,246.241,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.248,3.67197,37.4684,30.4244,242.428,249.913,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.184,4.67039,46.7171,37.1868,246.87,254.583,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.246,5.27342,53.7763,43.6395,252.094,259.856,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.438,4.57088,49.3691,42.4327,256.477,264.427,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.512,4.00946,44.2375,38.8405,260.422,268.437,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.64,4.48379,51.274,46.6593,264.677,272.92,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.818,5.57571,66.8784,63.8354,269.365,278.496,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.734,5.14535,60.3586,56.3447,273.9,283.642,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.384,4.7449,50.4438,42.6754,278.267,288.386,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.28,3.50076,36.0733,29.5801,281.762,291.887,0,,,,,,,,,,,,0.01,,,,,
,,,,,41.2,527.87,48.18,3.42,3.19332,34.3098,29.3349,284.384,295.081,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.466,3.31127,36.0556,31.2422,287.397,298.392,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.42,3.45811,37.1547,31.7673,290.696,301.85,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.384,3.34186,35.5278,30.0565,293.892,305.192,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.36,3.22262,34.0172,28.5745,296.987,308.414,0,,,,,,,,,,,,0.03,,,,,
,,,,,41.2,527.87,48.18,3.266,4.27562,43.8697,35.8196,301.15,312.69,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.088,3.64314,35.343,27.2848,304.685,316.333,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.108,3.38108,33.0131,25.6512,307.927,319.714,0,,,,,,,,,,,,-0.02,,,,,
,,,,,41.2,527.87,48.18,3.224,4.61118,46.7043,37.6437,312.381,324.325,0,,,,,,,,,,,,0,,,,,
,,,,,41.2,527.87,48.18,3.318,3.93149,40.9811,33.9938,316.27,328.257,0,,,,,,,,,,,,0,,,,,
